OriginalReferenceCode,StandardReferenceCode,AcquisitionType,ReferenceType,OrgCitation,Title,Authors,PublicationDate,Version,OriginalLanguage,ISBN,FirstEditionDate,EditionNumber,NumberofPages,BookTitle,Editors,LongJournalName,AbbreviatedJournalName,ISSN,Volume,Issue,Pages,SeriesName,SeriesNumber,ReportTitle,FileFormat,WWW,DOI,PublicationMedium,OperatingSystem,Validfrom,Remarks,DateOfGeneration,GeneratedBy,DateOfUpdate,UpdatedBy,Citation
1145,,D,P,Raunvísindastofnun Háskóla Íslands.,Óbirtar niðurstöður fitusýrugreininga. Raunvísindastofnun Háskólans.,Raunvísindastofnun Háskóla Íslands.,1988-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-10 08:21:26.0,,Raunvísindastofnun Háskólans. Niðurstöður fitusýrugreininga.
1704,,C,R,"Hafrannsóknastofnun, fjölrit nr. 10.",Þungmálmar í kræklingi við suðvesturland,Jón Ólafsson,1983-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jón Ólafsson, 1983. Þungmálmar í kræklingi við suðvesturland. Hafrannsóknastofnun, fjölrit nr. 10."
1271,,C,R,Tæknitíðindi nr. 145. Rannsóknastofnun fiskiðnaðarins.,Los í fullstöðnum saltfiski.,"Jóhann Þorsteinsson, Hafsteinn Guðfinnsson og Geir Arnesen",1983-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jóhann Þorsteinsson, Hafsteinn Guðfinnsson og Geir Arnesen, 1983. Los í fullstöðnum saltfiski. Tæknitíðindi nr. 145."
1414,,C,P,Rannsóknastofnun landbúnaðarins,Óbirtar næringarefnatöflur teknar saman vegna neyslukönnunar 1979-80.,Erla Stefánsdóttir,1979-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erla Stefánsdóttir, 1979. Óbirtar næringarefnatöflur teknar saman vegna neyslukönnunar 1979-80."
1113,,P,AJ,British Journal of Cancer 21: 270.,Gastric cancer and diet.,"Níels Dungal, Júlíus Sigurjónsson",1967-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Níels Dungal, Júlíus Sigurjónsson, 1967. Gastric cancer and diet. British Journal of Cancer 21: 270."
1447,,C,R,"Háskóli Íslands, matvælafræðiskor og Rannsóknastofnun landbúnaðarins. Skýrsla um námsverkefni.",Vinnslueiginleikar nautakjöts.,Rósa Jónsdóttir,1991-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rósa Jónsdóttir, 1991. Vinnslueiginleikar nautakjöts. Nemendaverkefni. Háskóli Íslands og Rannsóknastofnun landbúnaðarins."
1220,,C,P,Rannsóknastofnun fiskiðnaðarins,Óbirtar niðurstöður amínósýrugreininga.,Jónas Bjarnason.,1900-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,Jónas Bjarnason. Óbirtar niðurstöður amínósýrugreininga.
1444,,O,P,Rannsóknastofnun landbúnaðarins,Efnagreiningar vegna næringarefnataflna 1991-93.,Ólafur Reykdal,1991-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-10 08:31:51.0,,Ólafur Reykdal. Efnagreiningar vegna næringarefnataflna 1991-93.
1843,,F,B,"Gyldendal Norsk Forlag ASA, Oslo.",Den store matvaretabellen. 2. útg.,"Rimestad, A.H., Å. Borgejordet, K. Vesterhus, Sygnestveit, E.B. Løken, K. Trygg, M.L. Pollestad, K. Lund-Larsen, G. Omholt-Jensen, A. Norbotten",2001-01-01 00:00:00.0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rimestad, A.H., Å. Borgejordet, K. Vesterhus, Sygnestveit, E.B. Løken, K. Trygg, M.L. Pollestad, K. Lund-Larsen, G. Omholt-Jensen, A. Norbotten, 2001. Den store matvaretabellen. 2. útg. Gyldendal Norsk Forlag ASA, Oslo."
1910,,P,AJ,Journal of Food Composition and Analysis 1: 221-230.,Carotenoids and retinoids in Finnish foods: Ready-to-eat foods.,"Heinonen, M., V. Ollilainen, E. Linkola, P. Varo, Koivistoinen",1988-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heinonen, M., V. Ollilainen, E. Linkola, P. Varo, Koivistoinen, 1988. Carotenoids and retinoids in Finnish foods: Ready-to-eat foods. Journal of Food Composition and Analysis 1: 221-230."
1609,,L,P,,,,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Mjólkursamlag Borgfirðinga.,,,2010-03-09 04:41:10.0,,Mjólkursamlag Borgfirðinga.
1114,,P,AJ,Íslenskar landbúnaðarrannsóknir 13 (1-2): 79-82.,Klórkolefnissambönd í íslensku smjöri 1968-1982.,Þorkell Jóhannesson og Jóhannes F. Skaftason,1981-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,2009-10-30 03:40:49.0,,"Þorkell Jóhannesson og Jóhannes F. Skaftason, 1981. Klórkolefnissambönd í íslensku smjöri 1968-1982. Íslenskar landbúnaðarrannsóknir 13 (1-2): 79-82."
1290,,C,P,Rannsóknastofnun fiskiðnaðarins.,Óbirtar niðurstöður efnagreininga.,Svana H. Stefánsdóttir,1986-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Svana H. Stefánsdóttir, 1986. Óbirtar niðurstöður efnagreininga."
1717,,P,AB,"Í: “Nordic radioecology. The transfer of radionuclides through Nordic ecosystems to man”. Dahlgaard, H. (ritstj.), bls. 211-227, Elsevier, Amsterdam.",Radiocesium transfer to grazing sheep in Nordic environments,"Hove, K., H. Lönsjö, I. Andersson o.fl.",1994-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hove, K., H. Lönsjö, I. Andersson o.fl., 1994. Radiocesium transfer to grazing sheep in Nordic environments. Í: “Nordic radioecology. The transfer of radionuclides through Nordic ecosystems to man”. Dahlgaard, H. (ritstj.), bls. 211-227, Elsevier, Amsterdam."
1221,,C,P,Rannsóknastofnun fiskiðnaðarins,Óbirtar niðurstöður efnagreininga.,Júlíus Guðmundsson.,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-10 08:22:37.0,,Júlíus Guðmundsson. Óbirtar niðurstöður efnagreininga.
1619,,L,P,,,,2000-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Áfengis- og tóbaksverslun ríkisins,,,2010-03-09 04:31:54.0,,Áfengis- og tóbaksverslun ríkisins
1714,,C,AJ,Freyr 88: 617-625.,Hreinleiki íslenskra sláturafurða,Brynjólfur Sandholt,1992-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brynjólfur Sandholt, 1992. Hreinleiki íslenskra sláturafurða. Freyr 88: 617-625."
1467,,O,R,Matra 01:03.,Athugun á nítrati í grænmeti 2000.,Valur Norðri Gunnlaugsson,2001-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valur Norðri Gunnlaugsson, 2001. Athugun á nítrati í grænmeti 2000. Matra 01:03."
1110,,D,AJ,Læknablaðið 26: 65.,Rannsóknir á C - fjörvimagni nokkurra innlendra fæðutegunda.,Höskuldur Dungal,1940-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Höskuldur Dungal, 1940. Rannsóknir á C - fjörvimagni nokkurra innlendra fæðutegunda. Læknablaðið 26: 65."
1827,,F,B,"The Royal Society of Chemistry & Ministry of Agriculture, Fisheries and Food.",Fish and Fish Products. The third Supplement to McCance and Widdowson’s The Composition of Foods. 5. útg.,"Holland, B., J. Brown & D.H. Buss",1993-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holland, B., J. Brown & D.H. Buss, 1993. Fish and Fish Products. The third Supplement to McCance and Widdowson’s The Composition of Foods. 5. útg. The Royal Society of Chemistry & Ministry of Agriculture, Fisheries and Food."
1703,,P,AJ,J.Agric.Res.Icel. (Ísl. landbún.) 14 (1-2): 3-17.,Residue of linuron in soils and potatoes in Iceland.,Derek Mundell and Sigurgeir Ólafsson,1982-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Derek Mundell and Sigurgeir Ólafsson, 1982. Residue of linuron in soils and potatoes in Iceland. J.Agric.Res.Icel. (Ísl. landbún.) 14 (1-2): 3-17."
1305,,P,AJ,Journal of Food Composition and Analysis doi:10.1016/j.jfca.2011.03.002.,Minerals and trace elements in Icelandic dairy products and meat.,"Ólafur Reykdal, Sasan Rabieh, Laufey Steingrímsdóttir, Helga Gunnlaugsdóttir",2011-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,2011-05-20 01:09:11.0,,"Ólafur Reykdal, Sasan Rabieh, Laufey Steingrímsdóttir, Helga Gunnlaugsdóttir, 2011. Minerals and trace elements in Icelandic dairy products and meat. Journal of Food Composition and Analysis doi:10.1016/j.jfca.2011.03.002."
1264,,C,R,Tæknitíðindi nr. 125. Rannsóknastofnun fiskiðnaðarins.,Efnagreining á útfluttu þorskmjöli og loðnumjöli 1974-79,Júlíus Guðmundsson,1980-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Júlíus Guðmundsson, 1980. Efnagreining á útfluttu þorskmjöli og loðnumjöli 1974-79. Tæknitíðindi nr. 125."
1132,,C,P,"Tilraunastöð Háskóla Íslands í meinafræði, Keldum",Óbirtar mæliniðurstöður frá Tilraunastöð Háskólans í meinafræði.,Þorsteinn Þorsteinsson.,1900-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,Þorsteinn Þorsteinsson. Óbirtar mæliniðurstöður frá Tilraunastöð Háskólans í meinafræði.
1605,,L,P,,,,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,ORA ehf. niðursuðuverksmiðja.,,,2010-03-09 04:39:52.0,,ORA ehf. niðursuðuverksmiðja.
1119,,P,AJ,Acta pharmacol. et toxicol. 44: 156-157.,"Organochlorine compounds (DDT, hexachlorocyclohexan, hexachlorobenzene) in Icelandic animal body fat and butter fat.",Jóhannes F. Skaftason og Þorkell Jóhannesson,1979-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jóhannes F. Skaftason og Þorkell Jóhannesson, 1979. Organochlorine compounds (DDT, hexachlorocyclohexan, hexachlorobenzene) in Icelandic animal body fat and butter fat. Acta pharmacol. et toxicol. 44: 156-157."
1147,,C,AR,Samstarfshópur um hreinleika mjólkurafurða 1. rit: 19-25.,Mælingar á klórkolefnissamböndum í íslenskri mjólk 1991-1992.,"Svava Þórðardóttir, Kristín Ólafsdóttir og Þorkell Jóhannesson",1993-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Svava Þórðardóttir, Kristín Ólafsdóttir og Þorkell Jóhannesson, 1993. Mælingar á klórkolefnissamböndum í íslenskri mjólk 1991-1992. Samstarfshópur um hreinleika mjólkurafurða 1. rit: 19-25."
1450,,O,AR,Starfshópur um hreinleika mjólkurafurða 1. rit: 51-56.,Nítrat og nítrít í mjólk.,"Ólafur Reykdal, Kristín Hlíðberg og Baldur J. Vigfússon",1993-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ólafur Reykdal, Kristín Hlíðberg og Baldur J. Vigfússon, 1993. Nítrat og nítrít í mjólk. Starfshópur um hreinleika mjólkurafurða 1. rit: 51-56."
1927,,P,AJ,Journal of Food Composition and Analysis 5: 100-107.,Sugar and organic acid contents of vegetables consumed in Finland 1988-1989,"Haila, K., J. Kumpulainen, U. Häkkinen, R. Tahvonen",1992-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haila, K., J. Kumpulainen, U. Häkkinen, R. Tahvonen, 1992. Sugar and organic acid contents of vegetables consumed in Finland 1988-1989. Journal of Food Composition and Analysis 5: 100-107."
1841,,F,B,"The Royal Society of Chemistry &. Ministry of Agriculture, Fisheries and Food. London.",Fatty acids. The seventh supplement to McCance and Widdowson’s The Composition of Foods (5th Edition),"Ministry of Agriculture, Fisheries and Food",1998-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministry of Agriculture, Fisheries and Food, 1998. Fatty acids. The seventh supplement to McCance and Widdowson’s The Composition of Foods (5th Edition). The Royal Society of Chemistry &. Ministry of Agriculture, Fisheries and Food. London."
1101,,D,AR,Atvinnudeild Háskóla Íslands. Skýrsla.,Skýrsla Iðnaðardeildar árið 1939,Atvinnudeild Háskólans,1941-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atvinnudeild Háskólans, 1941. Skýrsla Iðnaðardeildar árið 1939."
1706,,C,R,Orkuveita Reykjavíkur,Efnasamsetning neysluvatns. Niðurstöður efnagreininga.,Orkuveita Reykjavíkur,1990-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-10 08:39:23.0,,Orkuveita Reykjavíkur. Efnasamsetning neysluvatns. Niðurstöður efnagreininga.
1610,,L,P,,,,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Osta- og smjörsalan.,,,2010-03-09 04:41:32.0,,Osta- og smjörsalan.
1926,,P,AJ,Journal of Food Composition and Analysis 5: 108-111.,Sugar and organic acids in berries and fruits consumed in Finland 1987-1989,"Haila, K., J. Kumpulainen, U. Häkkinen, R. Tahvonen",1992-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haila, K., J. Kumpulainen, U. Häkkinen, R. Tahvonen, 1992. Sugar and organic acids in berries and fruits consumed in Finland 1987-1989. Journal of Food Composition and Analysis 5: 108-111."
1120,,P,AJ,Náttúrufræðingurinn 51 (3): 97-104.,Klórkolefnissambönd í íslenskum vatnasilungi.,Jóhannes F. Skaftason og Þorkell Jóhannesson,1981-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jóhannes F. Skaftason og Þorkell Jóhannesson, 1981. Klórkolefnissambönd í íslenskum vatnasilungi. Náttúrufræðingurinn 51 (3): 97-104."
1907,,P,AJ,J. Food Sci. 47: 1786-1792.,"Vitamin B12, E and D content of raw and cooked beef.","Bennink, M.R., K. Ono",1982-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bennink, M.R., K. Ono, 1982. Vitamin B12, E and D content of raw and cooked beef. J. Food Sci. 47: 1786-1792."
1201,,C,AR,"Ársrit Fiskifélags Íslands 1939. Fiskiðnaðarrannsóknir III, bls. 27-33. Ísafoldarprentsmiðja, Reykjavík.",Nýting fjörugrasa.,Þórður Þorbjarnarson,1940-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Þórður Þorbjarnarson, 1940. Nýting fjörugrasa. Ársrit Fiskifélags Íslands 1939. Fiskiðnaðarrannsóknir III, bls. 27-33. Ísafoldarprentsmiðja, Reykjavík."
1402,,C,R,RALA report no. 44.,Annual report on the Food Science Program,Rannsóknastofnun landbúnaðarins,1978-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Annual report on the Food Science Program, 1978. RALA report no. 44."
1211,,C,P,Rannsóknastofnun fiskiðnaðarins,Óbirt: Efnagreining á þorsklifur 1965-1966.,Júlíus Guðmundsson,1966-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Júlíus Guðmundsson, 1966. Efnagreining á þorsklifur 1965-1966."
1901,,P,AJ,Nordisk Medicin 48: 1231.,Næringsværdien i nogle grønlandske levnedsmidler,"Hjarde, W., F.B. Jensen, H. Lieck, O. Porotnikoff & E.Uhl",1952-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hjarde, W., F.B. Jensen, H. Lieck, O. Porotnikoff & E.Uhl, 1952. Næringsværdien i nogle grønlandske levnedsmidler. Nordisk Medicin 48: 1231."
1819,,F,B,"Statens livsmedelsverk, Uppsala.",Fettsyratabeller,Statens livsmedelsverk,1989-01-01 00:00:00.0,,sv,,,,,,,,,,,,,,,,,,,,,,,,,,,"Statens livsmedelsverk, 1989. Fettsyratabeller. Statens livsmedelsverk, Uppsala."
1417,,O,R,"Fjölrit RALA nr. 97, fæðudeild 1. rit.",Rannsókn á íslenskri mjólk og mjólkurafurðum. Fyrri hluti.,"Jón Óttar Ragnarsson, Ólafur Reykdal, Ragnheiður Héðinsdóttir og Dóróthea Jóhannsdóttir",1983-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jón Óttar Ragnarsson, Ólafur Reykdal, Ragnheiður Héðinsdóttir og Dóróthea Jóhannsdóttir, 1983. Rannsókn á íslenskri mjólk og mjólkurafurðum. Fyrri hluti. Fjölrit RALA nr. 97, fæðudeild 1. rit."
1403,,C,R,Fjölrit RALA nr. 34.,Nýting skyrmysu.,Hannes Hafsteinsson og Jón óttar Ragnarsson,1978-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hannes Hafsteinsson og Jón óttar Ragnarsson, 1978. Nýting skyrmysu. Fjölrit RALA nr. 34."
1922,,C,R,"Levnedsmiddelstyrelsen, publikation nr. 203. Søborg, Danmark.",Slik og is. Næringsstoffer og tilsætningsstoffer,"Knuthsen, P., I.K. Larsen",1991-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knuthsen, P., I.K. Larsen, 1991. Slik og is. Næringsstoffer og tilsætningsstoffer. Levnedsmiddelstyrelsen, publikation nr. 203. Søborg, Danmark."
1912,,P,AJ,Journal of Food Composition and Analysis 1: 178-188.,Carotenoids and retinoids in Finnish foods: Meat and meat products,"Ollilainen,V., M. Heinonen, E. Linkola, P. Varo, Koivistoinen",1988-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ollilainen,V., M. Heinonen, E. Linkola, P. Varo, Koivistoinen, 1988. Carotenoids and retinoids in Finnish foods: Meat and meat products. Journal of Food Composition and Analysis 1: 178-188."
1148,,C,AR,Samstarfshópur um hreinleika mjólkurafurða 1. rit: 43-46.,Ívermektín - Mælingar á ívermektíni í mjólk.,Þorkell Jóhannesson og Jakob Kristinsson,1993-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Þorkell Jóhannesson og Jakob Kristinsson, 1993. Ívermektín - Mælingar á ívermektíni í mjólk. Samstarfshópur um hreinleika mjólkurafurða 1. rit: 43-46."
1213,,C,AR,"Vinnsla sjávarafla, Verkfræðingafélag Íslands, ráðstefna íslenskra verkfræðinga 1967: 209-221.",Þorskalýsi og þorsklifrarbræðsla.,Þórður Þorbjarnarson,1967-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Þórður Þorbjarnarson, 1967. Þorskalýsi og þorsklifrarbræðsla. Vinnsla sjávarafla, Verkfræðingafélag Íslands, ráðstefna íslenskra verkfræðinga 1967: 209-221."
1839,,F,B,"The Social Insurance Institution, Turku, Finnland.",Nutrient composition of foods,"Rastas, M., R. Seppänen, L.-R. Knuts, P. Hakala & V. Karttila",1997-01-01 00:00:00.0,,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rastas, M., R. Seppänen, L.-R. Knuts, P. Hakala & V. Karttila, 1997. Nutrient composition of foods. The Social Insurance Institution, Turku, Finnland."
1127,,P,AJ,Cancer 21 (3): 390-392.,Polycyclic hydrocarbons in singed food in Iceland.,Þorsteinn Þorsteinsson and Guðmundur Þórðarson,1968-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Þorsteinn Þorsteinsson and Guðmundur Þórðarson, 1968. Polycyclic hydrocarbons in singed food in Iceland. Cancer 21 (3): 390-392."
1144,,D,R,"Háskóli Íslands, matvælafræði. Verkefni nemenda.","Óbirt: Athugun á svaladrykkjum, gosdrykkjum og appelsínudrykkjum",,1978-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athugun á svaladrykkjum, gosdrykkjum og appelsínudrykkjum. Unnin af nemendum í matvælafræði 1978."
1115,,P,AJ,The Lancet October 3: 716-720.,Evidence for a food additive as a cause of ketosis-prone diabetes.,Þórir Helgason and Magnús R. Jónasson,1981-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Þórir Helgason and Magnús R. Jónasson, 1981. Evidence for a food additive as a cause of ketosis-prone diabetes. The Lancet October 3: 716-720."
1848,,F,WW,,Finnish Food Composition Database,National Institute for Health and Welfare,2008-01-01 00:00:00.0,,fi,,,,,,,,,,,,,,,,,,,,,,,2010-03-28 14:21:14.753,,2010-03-28 02:39:25.0,,"National Institute for Health and Welfare, Fineli, Finnish Food Composition Database, www.fineli.fi"
1317,,X,X,,,,1900-01-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-10 12:25:23.527,,2011-05-20 01:15:37.0,,Laust
1459,,C,R,"Rannsóknastofnun landbúnaðarins. Skýrsla, 9 bls.",Samsetning og eiginleikar trefjaefna í íslenskum afurðum,Þyrí Valdimarsdóttir,1996-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Þyrí Valdimarsdóttir, 1996. Samsetning og eiginleikar trefjaefna í íslenskum afurðum. Skýrsla, 9 bls."
1709,,C,P,Rannsóknastofa mjólkuriðnaðarins,Niðurstöður mælinga á mjólk frá mjólkursamlögum. Sýni voru tekin vikulega af hrámjólk hjá hverjum framleiðanda. Ekki var tekið tillit til framleiðslumagns.,Rannsóknastofa mjólkuriðnaðarins,1992-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rannsóknastofa mjólkuriðnaðarins, 1992. Niðurstöður mælinga á mjólk frá mjólkursamlögum. Sýni voru tekin vikulega af hrámjólk hjá hverjum framleiðanda. Ekki var tekið tillit til framleiðslumagns."
1817,,F,R,Statens praktisk-sundhedsmæssige undersøgelser & Vitamin-laboratorium,"Beretninger vedrørende Grønland. Appendix, tabeller til: Nogle undersøgelser af grønlandske levnedsmidler og kostforhold, nr. 3-II.",Statens praktisk-sundhedsmæssige undersøgelser & Vitamin-laboratorium,1955-01-01 00:00:00.0,,da,,,,,,,,,,,,,,,,,,,,,,,,,,,"Statens praktisk-sundhedsmæssige undersøgelser & Vitamin-laboratorium, 1955. Beretninger vedrørende Grønland. Appendix, tabeller til: Nogle undersøgelser af grønlandske levnedsmidler og kostforhold, nr. 3-II."
1426,,O,R,Rannsóknastofnun landbúnaðarins,Athugun á kolvetnainnihaldi nokkurra drykkja og grauta.,Ólafur Reykdal og Kristrún Hrólfsdóttir,1986-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ólafur Reykdal og Kristrún Hrólfsdóttir, 1986. Athugun á kolvetnainnihaldi nokkurra drykkja og grauta."
1404,,C,R,Fjölrit RALA nr. 35.,"Nítrat og nítrít í fæðu, 1 saltkjöt.","Jón Óttar Ragnarsson, Þuríður Þorbjarnardóttir og Hannes Hafsteinsson",1978-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jón Óttar Ragnarsson, Þuríður Þorbjarnardóttir og Hannes Hafsteinsson, 1978. Nítrat og nítrít í fæðu, 1 saltkjöt. Fjölrit RALA nr. 35."
